GeneID	padj	pvalue	lfcSE	log2FoldChange	Symbol	EnsemblGeneID
64766	0.74007033	9.58e-02	0.1277	0.2126491	S100PBP	ENSG00000116497
1806	0.74007033	9.52e-02	0.2652	-0.4425213	DPYD	ENSG00000188641
83593	0.74007033	9.48e-02	0.1698	-0.2836216	RASSF5	ENSG00000266094
5495	0.74007033	9.52e-02	0.1083	-0.1806855	PPM1B	ENSG00000138032
55577	0.74007033	9.56e-02	0.1925	0.3208659	NAGK	ENSG00000124357
8446	0.74007033	9.44e-02	0.1213	-0.2028757	DUSP11	ENSG00000144048
2863	0.74007033	9.57e-02	0.2181	-0.3633562	GPR39	ENSG00000183840
2817	0.74007033	9.47e-02	0.3222	0.5384172	GPC1	ENSG00000063660
7433	0.74007033	9.47e-02	0.2519	-0.4209469	VIPR1	ENSG00000114812
3576	0.74007033	9.52e-02	0.3901	0.6508954	CXCL8	ENSG00000169429
55003	0.74007033	9.53e-02	0.2031	-0.3387954	PAK1IP1	ENSG00000111845
106478956	0.74007033	9.55e-02	0.3723	0.6205284	MDC1-AS1	ENSG00000224328
1026	0.74007033	9.53e-02	0.1892	0.3156242	CDKN1A	ENSG00000124762
221393	0.74007033	9.51e-02	0.2924	0.4880515	ADGRF4	ENSG00000153294
26230	0.74007033	9.49e-02	0.4814	0.8040054	TIAM2	ENSG00000146426
100133091	0.74007033	9.47e-02	0.2641	-0.4414354	LINC03009	ENSG00000290873
91283	0.74007033	9.45e-02	0.1607	0.2687371	MSANTD3	ENSG00000066697
7248	0.74007033	9.49e-02	0.1441	0.2406673	TSC1	ENSG00000165699
441478	0.74007033	9.46e-02	0.3077	0.5143263	NRARP	ENSG00000198435
8872	0.74007033	9.55e-02	0.0888	-0.1480237	CDC123	ENSG00000151465
119548	0.74007033	9.54e-02	0.4963	-0.827725	PNLIPRP3	ENSG00000203837
101929089	0.74007033	9.47e-02	0.4314	0.7208376	TTC36-AS1	ENSG00000255435
10562	0.74007033	9.50e-02	1.2634	-2.1092175	OLFM4	ENSG00000102837
79711	0.74007033	9.57e-02	0.2598	0.4327982	IPO4	ENSG00000196497
101928527	0.74007033	9.44e-02	0.1915	-0.3203711	PIGBOS1	ENSG00000225973
9501	0.74007033	9.56e-02	0.3801	0.6333817	RPH3AL	ENSG00000181031
147040	0.74007033	9.57e-02	0.2472	0.4118833	KCTD11	ENSG00000213859
1655	0.74007033	9.54e-02	0.1307	-0.2180294	DDX5	ENSG00000108654
2258	0.74007033	9.52e-02	0.3831	-0.6391859	FGF13	ENSG00000129682
100527978	0.741164	9.59e-02	0.2113	-0.3517427	TLCD4-RWDD3	ENSG00000271092
492311	0.74171694	9.61e-02	0.1998	-0.3324892	IGIP	ENSG00000182700
2005	0.74230891	9.63e-02	0.1325	-0.2204346	ELK4	ENSG00000158711
8291	0.74230891	9.68e-02	0.5947	0.9875837	DYSF	ENSG00000135636
131177	0.74230891	9.65e-02	0.309	-0.5135445	FAM3D	ENSG00000198643
5098	0.74230891	9.65e-02	0.2026	0.3366879	PCDHGC3	ENSG00000240184
4800	0.74230891	9.67e-02	0.1998	0.3319845	NFYA	ENSG00000001167
101927126	0.74230891	9.62e-02	0.4554	0.7574726	GTF2IP7	
220979	0.74230891	9.65e-02	0.3145	0.522838	ZNF22-AS1	ENSG00000165511
83468	0.74230891	9.66e-02	0.4806	0.7984794	GLT8D2	ENSG00000120820
4828	0.74230891	9.66e-02	0.2467	0.40995	NMB	ENSG00000197696
116028	0.74230891	9.64e-02	0.3037	-0.5049303	RMI2	ENSG00000175643
124817	0.74230891	9.68e-02	0.114	-0.1892324	CNTD1	ENSG00000176563
57655	0.74230891	9.68e-02	0.393	0.6526492	GRAMD1A	ENSG00000089351
100527943	0.74230891	9.67e-02	0.1344	-0.2231411	TGIF2-RAB5IF	ENSG00000259399
57449	0.74264508	9.70e-02	0.3909	0.6487069	PLEKHG5	ENSG00000171680
11017	0.74264508	9.69e-02	0.1267	-0.2102473	SNRNP27	ENSG00000124380
3400	0.74264508	9.71e-02	0.3656	-0.6065955	ID4	ENSG00000172201
80344	0.74264508	9.70e-02	0.1334	-0.2213753	DCAF11	ENSG00000100897
126308	0.74264508	9.70e-02	0.1879	0.3117147	MOB3A	ENSG00000172081
10670	0.74351497	9.73e-02	0.1104	-0.183036	RRAGA	ENSG00000155876
127845	0.7442431	9.74e-02	0.482	-0.7988082	GOLT1A	ENSG00000174567
23172	0.7442431	9.75e-02	0.1282	-0.2123984	ABRAXAS2	ENSG00000165660
51317	0.7442431	9.75e-02	0.1609	0.2666398	PHF21A	ENSG00000135365
8654	0.74475582	9.76e-02	0.2925	0.4845669	PDE5A	ENSG00000138735
10459	0.74491626	9.97e-02	0.2905	0.4781948	MAD2L2	ENSG00000116670
1650	0.74491626	9.91e-02	0.1478	0.2437979	DDOST	ENSG00000244038
64793	0.74491626	1.02e-01	0.1668	0.2731543	CEP85	ENSG00000130695
607	0.74491626	1.02e-01	0.1755	0.2867688	BCL9	ENSG00000116128
1382	0.74491626	9.79e-02	0.2976	0.4925732	CRABP2	ENSG00000143320
3032	0.74491626	1.03e-01	0.1071	-0.1748527	HADHB	ENSG00000138029
79623	0.74491626	1.02e-01	0.4244	0.6935657	GALNT14	ENSG00000158089
84272	0.74491626	1.01e-01	0.1411	-0.2316548	YIPF4	ENSG00000119820
7840	0.74491626	9.87e-02	0.2865	0.4729972	ALMS1	ENSG00000116127
285074	0.74491626	9.93e-02	0.1946	0.320697	ANAPC1P2	ENSG00000285793
1373	0.74491626	1.00e-01	0.2085	-0.3427903	CPS1	ENSG00000021826
23171	0.74491626	9.87e-02	0.1874	-0.3094078	GPD1L	ENSG00000152642
64332	0.74491626	1.02e-01	0.3382	0.553106	NFKBIZ	ENSG00000144802
55347	0.74491626	9.89e-02	0.1583	-0.2611662	ABHD10	ENSG00000144827
3059	0.74491626	9.99e-02	0.2428	0.3994405	HCLS1	ENSG00000180353
83939	0.74491626	1.00e-01	0.1159	-0.1904387	EIF2A	ENSG00000144895
23355	0.74491626	1.00e-01	0.1624	-0.2668706	VPS8	ENSG00000156931
107986029	0.74491626	1.00e-01	0.7736	1.2705716	LOC107986029	
6133	0.74491626	1.01e-01	0.1495	-0.2453052	RPL9	ENSG00000163682
60592	0.74491626	1.01e-01	0.1282	-0.2102343	SCOC	ENSG00000153130
4086	0.74491626	9.81e-02	0.1149	-0.1900026	SMAD1	ENSG00000170365
10409	0.74491626	9.84e-02	0.168	0.2776745	BASP1	ENSG00000176788
9180	0.74491626	9.79e-02	0.1601	0.2650426	OSMR	ENSG00000145623
6880	0.74491626	9.94e-02	0.1148	-0.1891635	TAF9	ENSG00000273841
6879	0.74491626	1.02e-01	0.1065	-0.1741416	TAF7	ENSG00000178913
285590	0.74491626	1.02e-01	0.1743	0.2846461	SH3PXD2B	ENSG00000174705
1832	0.74491626	1.01e-01	0.1891	0.3103491	DSP	ENSG00000096696
10048	0.74491626	1.02e-01	0.1434	-0.2344925	RANBP9	ENSG00000010017
6659	0.74491626	1.01e-01	0.3314	0.5441601	SOX4	ENSG00000124766
221458	0.74491626	1.02e-01	0.624	1.0189765	KIF6	ENSG00000164627
55788	0.74491626	1.00e-01	0.1352	-0.2222063	LMBRD1	ENSG00000168216
246269	0.74491626	1.01e-01	0.2332	-0.3828011	AFG1L	ENSG00000135537
154075	0.74491626	9.83e-02	0.4144	0.6850126	SAMD3	ENSG00000164483
94120	0.74491626	9.95e-02	0.1371	0.2258113	SYTL3	ENSG00000164674
23288	0.74491626	9.79e-02	0.2178	0.360462	IQCE	ENSG00000106012
107986700	0.74491626	1.02e-01	0.5834	-0.9534808	PRR15-DT	
79017	0.74491626	1.02e-01	0.1577	-0.2575537	GGCT	ENSG00000006625
100101267	0.74491626	1.01e-01	0.1426	0.2335587	POM121C	ENSG00000272391
5782	0.74491626	9.79e-02	0.1573	0.2603922	PTPN12	ENSG00000127947
8321	0.74491626	9.84e-02	0.3366	-0.5563007	FZD1	ENSG00000157240
9512	0.74491626	1.02e-01	0.1252	-0.2045221	PMPCB	ENSG00000105819
83992	0.74491626	1.01e-01	0.2696	-0.4425059	CTTNBP2	ENSG00000077063
2146	0.74491626	9.99e-02	0.1829	0.3010193	EZH2	ENSG00000106462
9601	0.74491626	9.81e-02	0.1366	0.2259756	PDIA4	ENSG00000155660
11160	0.74491626	1.02e-01	0.1017	-0.1663165	ERLIN2	ENSG00000147475
1978	0.74491626	1.02e-01	0.3122	0.5106536	EIF4EBP1	ENSG00000187840
81034	0.74491626	9.94e-02	0.1445	-0.2380903	SLC25A32	ENSG00000164933
8555	0.74491626	9.87e-02	0.1549	-0.2557342	CDC14B	ENSG00000081377
64115	0.74491626	9.98e-02	0.2118	-0.3486274	VSIR	ENSG00000107738
92482	0.74491626	1.01e-01	0.1605	-0.2634169	BBIP1	ENSG00000214413
84280	0.74491626	9.95e-02	0.1069	-0.1761314	BTBD10	ENSG00000148925
4005	0.74491626	1.02e-01	0.3058	-0.4998026	LMO2	ENSG00000135363
9404	0.74491626	9.95e-02	0.503	0.8286675	LPXN	ENSG00000110031
54949	0.74491626	1.02e-01	0.1098	-0.1796336	SDHAF2	ENSG00000167985
595	0.74491626	1.02e-01	0.328	0.5362141	CCND1	ENSG00000110092
26005	0.74491626	9.85e-02	0.1515	0.2502665	C2CD3	ENSG00000168014
114769	0.74491626	1.02e-01	0.1529	-0.2497963	CARD16	ENSG00000204397
2597	0.74491626	9.99e-02	0.1745	0.2871753	GAPDH	ENSG00000111640
80212	0.74491626	1.00e-01	0.2164	0.3557535	CCDC92	ENSG00000119242
100873965	0.74491626	1.02e-01	0.1277	-0.2087978	MED4-AS1	ENSG00000229111
105370256	0.74491626	9.93e-02	0.2193	-0.3613917	LOC105370256	
1778	0.74491626	9.89e-02	0.1341	0.2213684	DYNC1H1	ENSG00000197102
1854	0.74491626	9.98e-02	0.146	-0.2402444	DUT	ENSG00000128951
641	0.74491626	9.95e-02	0.3918	0.6453719	BLM	ENSG00000197299
7026	0.74491626	1.02e-01	0.1408	-0.2300031	NR2F2	ENSG00000185551
6627	0.74491626	1.02e-01	0.2827	-0.4626171	SNRPA1	ENSG00000131876
23524	0.74491626	1.02e-01	0.1876	0.3068778	SRRM2	ENSG00000167978
3801	0.74491626	1.01e-01	0.3941	0.6465037	KIFC3	ENSG00000140859
6898	0.74491626	1.01e-01	0.8602	-1.4125176	TAT	ENSG00000198650
10428	0.74491626	9.79e-02	0.1624	-0.2688165	CFDP1	ENSG00000153774
124045	0.74491626	9.88e-02	0.3174	0.5238506	SPATA33	ENSG00000167523
79850	0.74491626	1.02e-01	0.1766	0.2891268	TLCD3A	ENSG00000167695
124935	0.74491626	9.98e-02	0.5887	0.9690183	SLC43A2	ENSG00000167703
10514	0.74491626	9.94e-02	0.319	0.5255732	MYBBP1A	ENSG00000132382
5636	0.74491626	1.02e-01	0.1298	-0.2124304	PRPSAP2	ENSG00000141127
224	0.74491626	9.95e-02	0.1815	-0.2990666	ALDH3A2	ENSG00000072210
124995	0.74491626	9.84e-02	0.1544	-0.2551324	MRPL10	ENSG00000159111
10349	0.74491626	1.00e-01	0.6204	1.0197621	ABCA10	ENSG00000154263
79902	0.74491626	9.94e-02	0.1372	0.2260363	NUP85	ENSG00000125450
2548	0.74491626	1.02e-01	0.3963	0.6471307	GAA	ENSG00000171298
1786	0.74491626	1.02e-01	0.1717	0.2808147	DNMT1	ENSG00000130816
4650	0.74491626	9.98e-02	0.1936	0.3186795	MYO9B	ENSG00000099331
101927151	0.74491626	1.01e-01	0.2066	0.339167	LINC02987	ENSG00000267575
147991	0.74491626	1.01e-01	0.1613	-0.2643482	DPY19L3	ENSG00000178904
84079	0.74491626	1.01e-01	0.1229	-0.2013458	ANKRD27	ENSG00000105186
84911	0.74491626	1.00e-01	0.4549	-0.7473083	ZNF382	ENSG00000161298
11100	0.74491626	1.00e-01	0.1072	0.1760651	HNRNPUL1	ENSG00000105323
147699	0.74491626	1.01e-01	0.435	-0.7131978	PPM1N	ENSG00000213889
8455	0.74491626	1.02e-01	0.1062	0.1737393	ATRN	ENSG00000088812
140683	0.74491626	1.01e-01	0.5981	0.9814489	BPIFA2	ENSG00000131050
107985405	0.74491626	9.96e-02	0.2705	0.4453857	LOC107985405	
100506385	0.74491626	1.00e-01	0.5736	-0.9430169	LINC01426	ENSG00000234380
64976	0.74491626	1.02e-01	0.1142	-0.1866307	MRPL40	ENSG00000185608
9609	0.74491626	9.96e-02	0.4201	0.6918203	RAB36	ENSG00000100228
25813	0.74491626	9.80e-02	0.0976	-0.1614428	SAMM50	ENSG00000100347
3052	0.74491626	1.00e-01	0.1198	-0.1967113	HCCS	ENSG00000004961
23708	0.74491626	9.99e-02	0.1463	-0.2406814	GSPT2	ENSG00000189369
528	0.74525033	1.03e-01	0.1149	-0.187487	ATP6V1C1	ENSG00000155097
3310	0.74531974	1.03e-01	0.6019	0.9816157	HSPA6	ENSG00000173110
7371	0.74531974	1.03e-01	0.1535	0.2504301	UCK2	ENSG00000143179
3572	0.74531974	1.03e-01	0.1575	-0.2569663	IL6ST	ENSG00000134352
3107	0.74531974	1.03e-01	0.187	-0.30488	HLA-C	ENSG00000204525
387804	0.74531974	1.03e-01	0.5438	-0.8863601	VSTM5	ENSG00000214376
79659	0.74531974	1.03e-01	0.3806	0.6205374	DYNC2H1	ENSG00000187240
2026	0.74531974	1.03e-01	0.2418	0.3941899	ENO2	ENSG00000111674
1431	0.74531974	1.03e-01	0.0781	0.127389	CS	ENSG00000062485
6692	0.74531974	1.03e-01	0.1884	0.3072176	SPINT1	ENSG00000166145
51762	0.74531974	1.03e-01	0.1475	-0.2404862	RAB8B	ENSG00000166128
148418	0.74571558	1.03e-01	0.4917	0.8009344	SAMD13	ENSG00000203943
80301	0.74571558	1.03e-01	0.1863	0.3035086	PLEKHO2	ENSG00000241839
637	0.74571558	1.03e-01	0.1382	0.2251242	BID	ENSG00000015475
79729	0.74616741	1.05e-01	0.479	0.7760395	SH3D21	ENSG00000214193
9813	0.74616741	1.05e-01	0.087	-0.1410371	EFCAB14	ENSG00000159658
85369	0.74616741	1.05e-01	0.1207	0.195709	STRIP1	ENSG00000143093
2312	0.74616741	1.04e-01	0.3676	-0.5982132	FLG	ENSG00000143631
79573	0.74616741	1.04e-01	0.1667	0.2707795	TTC13	ENSG00000143643
10153	0.74616741	1.05e-01	0.1569	-0.2544617	CEBPZ	ENSG00000115816
7360	0.74616741	1.04e-01	0.1431	-0.2326013	UGP2	ENSG00000169764
105374812	0.74616741	1.05e-01	0.5128	-0.8319459	LOC105374812	
654342	0.74616741	1.04e-01	0.4454	-0.7234747	LSP1P4	
1933	0.74616741	1.04e-01	0.1204	-0.1955557	EEF1B2	ENSG00000114942
10056	0.74616741	1.05e-01	0.122	-0.1979588	FARSB	ENSG00000116120
10217	0.74616741	1.05e-01	0.1048	-0.1697605	CTDSPL	ENSG00000144677
23132	0.74616741	1.05e-01	0.181	0.2935705	RAD54L2	ENSG00000164080
64422	0.74616741	1.04e-01	0.1406	-0.228694	ATG3	ENSG00000144848
84859	0.74616741	1.04e-01	0.1409	0.2288473	LRCH3	ENSG00000186001
4717	0.74616741	1.04e-01	0.1513	-0.2458878	NDUFC1	ENSG00000109390
4651	0.74616741	1.04e-01	0.1073	0.1744103	MYO10	ENSG00000145555
10184	0.74616741	1.05e-01	0.1659	-0.2688371	LHFPL2	ENSG00000145685
90624	0.74616741	1.05e-01	0.2173	-0.3526102	LYRM7	ENSG00000186687
100507557	0.74616741	1.04e-01	0.2139	-0.3482851	EPM2A-DT	ENSG00000235652
3624	0.74616741	1.05e-01	0.5042	0.8173661	INHBA	ENSG00000122641
157285	0.74616741	1.05e-01	0.2531	0.4105397	PRAG1	ENSG00000275342
105379382	0.74616741	1.04e-01	0.1887	-0.3069611	LOC105379382	
55234	0.74616741	1.04e-01	0.096	-0.1562988	SMU1	ENSG00000122692
11046	0.74616741	1.04e-01	0.206	-0.3345315	SLC35D2	ENSG00000130958
7702	0.74616741	1.05e-01	0.1283	-0.20792	ZNF143	ENSG00000166478
23642	0.74616741	1.04e-01	0.323	0.5253046	SNHG1	ENSG00000255717
23329	0.74616741	1.04e-01	0.201	-0.326558	TBC1D30	ENSG00000111490
7112	0.74616741	1.05e-01	0.1719	-0.2784953	TMPO	ENSG00000120802
253832	0.74616741	1.05e-01	0.1543	-0.250215	ZDHHC20	ENSG00000180776
55147	0.74616741	1.04e-01	0.069	-0.1120881	RBM23	ENSG00000100461
64398	0.74616741	1.05e-01	0.1186	-0.1921256	PALS1	ENSG00000072415
122509	0.74616741	1.05e-01	0.2151	0.348929	IFI27L1	ENSG00000165948
94103	0.74616741	1.04e-01	0.1248	0.2031187	ORMDL3	ENSG00000172057
100534593	0.74616741	1.04e-01	0.1683	0.2734455	STX16-NPEPL1	ENSG00000254995
84645	0.74616741	1.05e-01	0.2299	0.3724241	C22orf23	ENSG00000128346
154796	0.74616741	1.04e-01	0.3541	-0.5755368	AMOT	ENSG00000126016
401546	0.74647918	1.05e-01	0.3445	-0.5578434	C9orf152	ENSG00000188959
9772	0.74647918	1.05e-01	0.2457	0.3979052	TMEM94	ENSG00000177728
7326	0.74680375	1.05e-01	0.0959	-0.1553034	UBE2G1	ENSG00000132388
83692	0.74760103	1.06e-01	0.2354	0.3809595	CD99L2	ENSG00000102181
55691	0.74773525	1.06e-01	0.366	0.5921519	FRMD4A	ENSG00000151474
79991	0.74878421	1.06e-01	0.3756	-0.6072618	STN1	ENSG00000107960
89894	0.74878421	1.06e-01	0.2618	-0.4231918	TMEM116	ENSG00000198270
55969	0.74964064	1.06e-01	0.1356	-0.2191191	RAB5IF	ENSG00000101084
11123	0.749967	1.08e-01	0.1687	0.2710174	RCAN3	ENSG00000117602
8289	0.749967	1.09e-01	0.1479	0.2371632	ARID1A	ENSG00000117713
5016	0.749967	1.09e-01	0.3063	-0.491415	OVGP1	ENSG00000085465
22889	0.749967	1.08e-01	0.1436	0.2306287	KHDC4	ENSG00000132680
2327	0.749967	1.07e-01	0.6252	-1.007289	FMO2	ENSG00000094963
3707	0.749967	1.08e-01	0.2199	0.3534271	ITPKB	ENSG00000143772
150726	0.749967	1.09e-01	0.3941	0.6312963	FBXO41	ENSG00000163013
25972	0.749967	1.08e-01	0.1071	-0.1719396	UNC50	ENSG00000115446
4862	0.749967	1.08e-01	0.2308	0.3704845	NPAS2	ENSG00000170485
6574	0.749967	1.09e-01	0.2419	0.3875596	SLC20A1	ENSG00000144136
25917	0.749967	1.09e-01	0.1163	-0.1861979	THUMPD3	ENSG00000134077
9039	0.749967	1.08e-01	0.1012	-0.1626214	UBA3	ENSG00000144744
55773	0.749967	1.08e-01	0.1379	-0.2219943	TBC1D23	ENSG00000036054
286676	0.749967	1.09e-01	0.1564	-0.250956	ILDR1	ENSG00000145103
7095	0.749967	1.08e-01	0.19	-0.3055379	SEC62	ENSG00000008952
107986163	0.749967	1.07e-01	0.4327	-0.6966761	LOC107986163	ENSG00000272970
5504	0.749967	1.09e-01	0.1164	-0.1866177	PPP1R2	ENSG00000184203
257236	0.749967	1.07e-01	0.4675	0.7537344	CCDC96	ENSG00000173013
441024	0.749967	1.07e-01	0.1731	-0.2791549	MTHFD2L	ENSG00000163738
246175	0.749967	1.09e-01	0.1558	-0.249589	CNOT6L	ENSG00000138767
153571	0.749967	1.07e-01	0.2995	0.482186	IRX2-DT	
1350	0.749967	1.09e-01	0.1258	-0.2017413	COX7C	ENSG00000127184
728554	0.749967	1.07e-01	0.2165	-0.3493539	LOC728554	ENSG00000291113
643749	0.749967	1.08e-01	0.3762	-0.6048307	TRAF3IP2-AS1	ENSG00000231889
835	0.749967	1.07e-01	0.1369	0.2205495	CASP2	ENSG00000106144
6591	0.749967	1.09e-01	0.2045	0.3276435	SNAI2	ENSG00000019549
6129	0.749967	1.07e-01	0.1289	-0.2077562	RPL7	ENSG00000147604
115908	0.749967	1.06e-01	0.6056	0.9778425	CTHRC1	ENSG00000164932
50807	0.749967	1.08e-01	0.2251	0.3613676	ASAP1	ENSG00000153317
439965	0.749967	1.07e-01	0.1544	-0.2486781	SHLD2P3	
5660	0.749967	1.08e-01	0.2655	0.4263524	PSAP	ENSG00000197746
142891	0.749967	1.08e-01	0.3023	-0.4852976	SAMD8	ENSG00000156671
11128	0.749967	1.08e-01	0.1264	0.2029726	POLR3A	ENSG00000148606
4714	0.749967	1.09e-01	0.1498	-0.2400719	NDUFB8	ENSG00000166136
10992	0.749967	1.09e-01	0.096	0.1539593	SF3B2	ENSG00000087365
58473	0.749967	1.09e-01	0.3209	-0.5149178	PLEKHB1	ENSG00000021300
196264	0.749967	1.08e-01	0.1585	-0.2548266	MPZL3	ENSG00000160588
84959	0.749967	1.09e-01	0.1818	0.2917499	UBASH3B	ENSG00000154127
334	0.749967	1.06e-01	0.1047	0.1689657	APLP2	ENSG00000084234
196394	0.749967	1.08e-01	0.1883	-0.3030173	AMN1	ENSG00000151743
784	0.749967	1.09e-01	0.2611	0.4189041	CACNB3	ENSG00000167535
11247	0.749967	1.07e-01	0.543	0.8763139	NXPH4	ENSG00000182379
10795	0.749967	1.09e-01	0.1709	-0.2740278	ZNF268	ENSG00000090612
55640	0.749967	1.08e-01	0.4018	-0.6457285	FLVCR2	ENSG00000119686
55038	0.749967	1.09e-01	0.244	0.391482	CDCA4	ENSG00000170779
6296	0.749967	1.07e-01	0.2053	-0.3309456	ACSM3	ENSG00000005187
100271836	0.749967	1.07e-01	0.3761	0.6070284	SMG1P3	ENSG00000180747
124454	0.749967	1.09e-01	0.1197	0.1918693	EARS2	ENSG00000103356
57649	0.749967	1.07e-01	0.1767	0.2844745	PHF12	ENSG00000109118
113177	0.749967	1.09e-01	0.5606	0.8982458	IZUMO4	ENSG00000099840
84717	0.749967	1.09e-01	0.2396	0.3842134	HDGFL2	ENSG00000167674
3191	0.749967	1.09e-01	0.067	0.107493	HNRNPL	ENSG00000104824
84787	0.749967	1.09e-01	0.438	0.702678	KMT5C	ENSG00000133247
140612	0.749967	1.09e-01	0.2281	-0.3657893	ZFP28	ENSG00000196867
2551	0.749967	1.09e-01	0.1341	-0.2149942	GABPA	ENSG00000154727
96610	0.749967	1.07e-01	0.1657	-0.2670819	BMS1P20	
80305	0.749967	1.08e-01	0.3505	0.5639699	TRABD	ENSG00000170638
5063	0.749967	1.07e-01	0.6304	1.016161	PAK3	ENSG00000077264
10009	0.749967	1.08e-01	0.1311	-0.210416	ZBTB33	ENSG00000177485
51765	0.749967	1.09e-01	0.1256	-0.2014317	STK26	ENSG00000134602
5724	0.75032134	1.09e-01	0.2291	0.366634	PTAFR	ENSG00000169403
6281	0.75032134	1.10e-01	0.166	0.2655139	S100A10	ENSG00000197747
23029	0.75032134	1.09e-01	0.1403	-0.2246527	RBM34	ENSG00000188739
345462	0.75032134	1.10e-01	0.2473	-0.3957914	ZNF879	ENSG00000234284
85025	0.75032134	1.09e-01	0.1593	-0.2550549	TMEM60	ENSG00000135211
146227	0.75032134	1.10e-01	0.5551	0.8880341	BEAN1	ENSG00000166546
9466	0.75032134	1.10e-01	0.301	0.4815579	IL27RA	ENSG00000104998
3914	0.75057078	1.10e-01	0.2039	0.326084	LAMB3	ENSG00000196878
5229	0.75114966	1.10e-01	0.1402	-0.2242032	PGGT1B	ENSG00000164219
8603	0.75219273	1.10e-01	0.1883	0.3009124	FAM193A	ENSG00000125386
728975	0.75219273	1.10e-01	0.226	-0.3611482	CAPN1-AS1	ENSG00000254614
5287	0.75221084	1.10e-01	0.1499	0.2393854	PIK3C2B	ENSG00000133056
101928979	0.75564279	1.11e-01	0.3321	-0.5291511	LINC01719	
9443	0.75564279	1.11e-01	0.1468	-0.2339882	MED7	ENSG00000155868
7916	0.75564279	1.11e-01	0.2178	0.3472221	PRRC2A	ENSG00000204469
6648	0.75564279	1.11e-01	0.2699	0.4304149	SOD2	ENSG00000291237
84436	0.75564279	1.11e-01	0.2068	-0.3298272	ZNF528	ENSG00000167555
9510	0.75564279	1.11e-01	0.3058	0.4873768	ADAMTS1	ENSG00000154734
652968	0.75564279	1.11e-01	0.3303	0.5264672	CASTOR1	ENSG00000239282
60491	0.75632271	1.11e-01	0.0995	-0.1583787	NIF3L1	ENSG00000196290
131450	0.75632271	1.11e-01	0.649	-1.0330654	CD200R1	ENSG00000163606
23007	0.75632271	1.11e-01	0.4946	0.7875757	PLCH1	ENSG00000114805
2200	0.75632271	1.11e-01	0.5955	0.9482469	FBN1	ENSG00000166147
5034	0.75632271	1.11e-01	0.1337	0.2129412	P4HB	ENSG00000185624
23211	0.75632271	1.11e-01	0.176	0.2802166	ZC3H4	ENSG00000130749
767558	0.7572692	1.12e-01	0.102	-0.162304	LUZP6	
136319	0.7572692	1.12e-01	0.102	-0.162304	MTPN	ENSG00000105887
11054	0.7572692	1.12e-01	0.2442	0.3884608	OGFR	ENSG00000060491
55721	0.75764167	1.13e-01	0.3292	0.5218544	IQCC	ENSG00000160051
101929796	0.75764167	1.12e-01	0.3455	0.5486121	NOTCH2NLR	ENSG00000286106
149013	0.75764167	1.13e-01	0.3545	0.5623872	NBPF12	ENSG00000268043
163590	0.75764167	1.13e-01	0.0933	-0.1479667	TOR1AIP2	ENSG00000169905
5525	0.75764167	1.12e-01	0.1456	-0.231329	PPP2R5A	ENSG00000066027
4430	0.75764167	1.12e-01	0.1874	0.2979957	MYO1B	ENSG00000128641
2992	0.75764167	1.13e-01	0.134	-0.2123105	GYG1	ENSG00000163754
55296	0.75764167	1.13e-01	0.2433	-0.3859073	TBC1D19	ENSG00000109680
57484	0.75764167	1.12e-01	0.4715	-0.7494574	RNF150	ENSG00000170153
836	0.75764167	1.13e-01	0.1425	-0.2258842	CASP3	ENSG00000164305
29883	0.75764167	1.13e-01	0.1254	-0.1989431	CNOT7	ENSG00000198791
7539	0.75764167	1.12e-01	0.3555	-0.5644553	ZFP37	ENSG00000136866
54708	0.75764167	1.12e-01	0.1569	-0.2491744	MARCHF5	ENSG00000198060
8065	0.75764167	1.13e-01	0.1463	-0.2319609	CUL5	ENSG00000166266
22897	0.75764167	1.13e-01	0.206	0.326519	CEP164	ENSG00000110274
51643	0.75764167	1.13e-01	0.1222	-0.1937951	TMBIM4	ENSG00000155957
440107	0.75764167	1.12e-01	0.4231	0.6719902	PLEKHG7	ENSG00000187510
79094	0.75764167	1.13e-01	0.464	0.7364466	CHAC1	ENSG00000128965
11273	0.75764167	1.13e-01	0.1586	0.2513162	ATXN2L	ENSG00000168488
5432	0.75764167	1.13e-01	0.0965	-0.1530743	POLR2C	ENSG00000102978
5336	0.75764167	1.13e-01	0.251	0.3977628	PLCG2	ENSG00000197943
54941	0.75764167	1.12e-01	0.2949	-0.4683177	RNF125	ENSG00000101695
1760	0.75764167	1.12e-01	0.4565	0.7251692	DMPK	ENSG00000104936
5509	0.75764167	1.12e-01	0.2078	-0.3301522	PPP1R3D	ENSG00000132825
100529097	0.75764167	1.13e-01	0.1	-0.1587358	RPL36A-HNRNPH2	ENSG00000257529
1107	0.75777777	1.13e-01	0.112	0.1774621	CHD3	ENSG00000170004
9223	0.75826078	1.13e-01	0.1848	-0.2926785	MAGI1	ENSG00000151276
135114	0.75826078	1.13e-01	0.1164	-0.1842311	HINT3	ENSG00000111911
113201	0.75826078	1.13e-01	0.1093	-0.173122	GOLM2	ENSG00000166734
5824	0.75840714	1.14e-01	0.086	-0.135831	PEX19	ENSG00000162735
8674	0.75840714	1.14e-01	0.1823	-0.2883038	VAMP4	ENSG00000117533
159	0.75840714	1.14e-01	0.1238	-0.1956876	ADSS2	ENSG00000035687
5311	0.75840714	1.14e-01	0.1663	-0.2629749	PKD2	ENSG00000118762
